exp,scGCA,scGCN,seurat,scmap,SingleR
bcp1_6000-bcp2_6000,0.779,0.776,0.772,0.576,0.772
bcp2_6000-bcp3_6000,0.783,0.572,0.633,0.493,0.69
bcp1_6000-pcp1_6000,0.66,0.66,0.679,0.503,0.599
bcp1_6000-mp1_6000,0.833,0.902,0.67,0.553,0.859
bcp2_6000-bcp1_6000,0.774,0.66,0.753,0.657,0.759
bcp3_6000-bcp1_6000,0.713,0.648,0.611,0.515,0.722
bcp3_6000-bcp2_6000,0.791,0.599,0.686,0.495,0.79
pcp1_6000-bcp1_6000,0.502,0.548,0.663,0.504,0.619
mp1_6000-bcp1_6000,0.926,0.523,0.943,0.561,0.737
bcp1_6000-bcp3_6000,0.69,0.715,0.658,0.452,0.655
pcp1_6000-mp1_6000,0.798,0.613,0.672,0.443,0.754
mp1_6000-pcp1_6000,0.737,0.535,0.81,0.458,0.49
