Angiogenesis,Apoptosis,CellCycle,Differentiation,DNAdamage,DNArepair,EMT,Hypoxia,Inflammation,Invasion,Metastasis,Proliferation,Quiescence,Stemness
1.1671767,0.38744164,-2.4222806,0.83785784,0.04461757,-1.0085671,-0.7814512,0.7892227,-0.95313585,-2.11756,-0.3939975,-0.5490571,-0.2929829,-1.2945743
1.3266973,0.2772171,-2.4143276,0.6983326,-0.031349882,-1.1361468,-0.9624808,0.8639322,-0.85515976,-2.1882312,-0.53551775,-0.58339584,-0.4750532,-1.4924611
1.2221534,0.40690175,-2.344717,0.5966534,0.078024566,-1.4483671,-0.8755034,0.79791087,-0.64629287,-2.1406457,-0.7113325,-0.22288199,-0.4203361,-1.4268987
1.1517857,0.41487387,-2.0587692,0.68570036,0.112674445,-1.2067673,-0.95194024,0.8363277,-0.92324245,-2.090807,-0.7747643,-0.3807509,-0.27625594,-1.4503901
1.1271156,0.47862035,-2.5003717,0.60012054,0.25470668,-1.4252622,-1.0300651,1.0777129,-0.9386614,-2.321753,-0.7811903,-0.2737064,-0.42743063,-1.4012288
1.3145281,0.36246678,-2.4171484,0.6271871,0.023492204,-1.2998986,-0.7592434,0.8048382,-0.8407979,-2.15762,-0.69261205,-0.5811958,-0.3901666,-1.430247
1.2585922,0.51255155,-2.3502243,0.8451267,0.15189712,-1.2129948,-0.72123617,0.9123771,-1.0108334,-2.426562,-0.86818445,-0.4577732,-0.17834632,-1.4895068
1.0735703,0.40056348,-2.0509794,1.1448416,-0.13394602,-1.2892766,-0.9738138,0.7605955,-0.8821037,-2.3600237,-0.48601937,-0.39608487,-0.37581372,-1.5164754
1.0026877,0.37893298,-2.2248964,0.7550934,0.13347805,-1.4121959,-0.7765073,0.598332,-1.3200046,-2.380627,-0.58563465,-0.39111984,-0.7045578,-1.7617286
1.2117461,0.31911984,-2.2443242,1.0078307,-0.09701035,-1.3869467,-0.582188,0.706982,-0.58474356,-2.2435293,-0.51102394,-0.42163557,-0.76892936,-1.2712512
1.2390314,0.3313585,-2.0886483,0.7150862,0.38899666,-1.5926137,-0.7705952,0.36601955,-1.0234741,-1.9689829,-0.5446433,-0.23689225,-0.35562867,-1.4568219
1.193912,0.44295886,-2.0260253,0.69870096,-0.29110116,-1.3213358,-0.75333714,1.1144195,-1.0272633,-2.1213648,-0.6457656,-0.1886847,-0.22519228,-1.3782881
1.3389534,0.33995456,-2.2267032,0.7146491,0.16482435,-1.3110347,-1.222833,0.5192397,-1.0312871,-2.1579905,-0.38854188,-0.17812584,-0.37099233,-1.5596257
1.3217038,0.1939121,-2.044164,0.49596858,0.26540983,-1.1708055,-0.8452698,0.7587056,-0.967128,-2.037536,-0.69906056,-0.3316856,-0.51636004,-1.4016385
1.3500204,0.47146028,-1.9133742,0.8421294,0.038358636,-1.3518593,-0.94942296,0.9652579,-1.0160568,-2.1728604,-0.35787454,-0.12546712,-0.30164352,-1.3737878
1.1438428,0.49984616,-1.9972998,0.6284649,0.1580267,-0.9786423,-1.2212538,0.665084,-0.8245338,-2.1564107,-0.65132403,-0.34421542,-0.6477979,-1.4616944
1.5423748,0.11297983,-2.3243904,0.9545531,0.16856906,-1.3286116,-0.90485865,0.51647973,-1.065609,-2.223461,-0.61113393,-0.48619887,-0.32182026,-1.3736134
1.2531672,0.39216435,-2.5536826,0.73753536,0.051308677,-1.4477429,-1.0213,0.7547894,-0.8736969,-1.9681923,-0.7006922,-0.5293423,-0.30317798,-1.5713134
1.3775991,0.7311369,-2.052442,0.42146593,0.18041065,-0.9788704,-0.95558655,0.904484,-0.92128056,-2.159577,-0.7560667,-0.31762758,-0.24067229,-1.3040255
1.2400728,0.38308814,-2.2722876,1.1042776,0.08522665,-1.4032733,-0.8450581,0.7985179,-0.7618745,-2.1483822,-0.74070674,-0.45470837,-0.2736075,-1.2165568
1.2390283,0.54246306,-2.3344204,0.66919047,-0.05016152,-1.2479944,-1.149166,0.7501181,-1.0338023,-2.2559302,-0.58154774,-0.36059013,-0.29557925,-1.6269196
1.3167405,0.7172065,-2.200806,0.5976213,-0.108856425,-1.1702988,-1.0777819,0.84673256,-0.7403567,-1.7847848,-0.55610996,-0.38926256,-0.10324149,-1.6374062
1.4391025,0.3609837,-2.4838886,1.1528141,-0.14663501,-1.5081861,-1.0309182,0.7876412,-0.70083314,-2.3408158,-0.6761019,-0.36776048,-0.46606803,-1.5153636
1.2982911,0.52137816,-2.1404638,0.792761,0.14244589,-1.2638726,-0.90971786,0.73470706,-1.0542326,-2.2550206,-0.7938843,-0.39047438,-0.2668197,-1.5069854
1.7352283,0.2308245,-2.3843892,0.53342146,0.091403745,-1.2323859,-0.9289927,0.85675454,-0.8252478,-1.9591912,-0.47054678,-0.5627441,-0.10808985,-1.2081273
1.3010876,0.27271312,-2.2145994,0.78545743,0.09460942,-1.1915615,-0.8994749,0.6207459,-1.0936508,-2.1069965,-0.5628785,-0.3605835,-0.75979626,-1.5330647
1.2609861,0.43771023,-2.3912592,0.88057536,0.027553372,-1.2327487,-1.2949536,0.61215425,-0.76845074,-2.0340023,-0.51514983,-0.34964138,-0.43102056,-1.6054021
1.1997108,0.44209877,-2.2245173,0.42598832,0.21036151,-1.3614099,-0.9843111,0.7108702,-0.5743021,-1.9909596,-0.666002,-0.39911392,-0.5122926,-1.5199071
1.1237992,0.53580797,-2.0079765,0.56539184,0.1230807,-1.2424805,-1.0786881,0.8310368,-0.6158302,-2.055239,-0.6445687,-0.5034777,-0.23846102,-1.4297372
1.1193895,0.35426146,-2.1994646,0.8208,0.17929369,-1.1995411,-1.0000302,0.6628913,-1.0513914,-2.2017267,-0.87644094,-0.52997094,-0.75763845,-1.6788993
1.6599725,0.7625219,-2.2464163,0.3737719,0.49849558,-1.1840343,-1.0003359,0.8002566,-0.45258817,-2.1797352,-0.86308527,-0.337393,-0.07143043,-1.524288
1.0738485,0.4774577,-2.2734044,0.71220523,0.4452837,-1.0701809,-0.91931486,0.68887424,-0.74432915,-2.1108255,-0.72370356,-0.39025798,-0.3080485,-1.4960092
1.8277584,0.24868813,-2.0998425,0.7454586,0.21791673,-1.8593628,-1.1496712,0.39436263,-1.0100486,-2.1149013,-0.87036127,-0.7027728,-0.83447474,-1.437723
1.365298,0.41442958,-2.0233645,0.694437,0.23086992,-1.3600755,-0.8277352,0.73600465,-0.7618441,-1.9316832,-0.86699176,-0.18633042,-0.23816293,-1.5215108
1.3799195,0.45123774,-2.1956265,0.4613974,0.049064323,-1.0225967,-1.0596441,0.9495077,-0.8731311,-2.220509,-0.70064056,-0.28331026,-0.5273009,-1.4823571
1.3063769,0.32670054,-2.0731173,1.1026613,0.009062153,-1.3632951,-0.697051,0.75863826,-0.8085442,-2.1940286,-0.69834065,-0.6982215,-0.6134951,-1.4745457
1.176898,0.6473845,-1.9617893,0.63329935,-0.09558431,-1.2836907,-1.1063478,0.7662301,-0.8299508,-2.1965673,-0.58531255,-0.14045957,-0.36980033,-1.5418539
1.5424306,0.5320992,-2.0576866,0.47626776,0.27348065,-1.1843479,-0.91634166,0.96221346,-0.73894626,-2.014098,-0.6178809,-0.43011394,-0.09380157,-1.2983068
1.1375669,0.24923459,-2.214515,0.765733,0.026539575,-1.4542587,-1.0163772,0.9026077,-0.87204105,-2.0016327,-0.4318504,-0.3514809,-0.9251263,-1.4251251
1.3202735,0.6399784,-2.3115053,0.73179287,-0.022314422,-1.2559128,-0.989869,0.87614954,-0.6001396,-2.2362056,-0.60472244,-0.39165935,-0.30598003,-1.6044768
0.91544837,0.3127479,-2.1311455,0.82424986,0.32567543,-1.327316,-0.69156414,0.80873936,-0.7536283,-2.0625663,-0.6308711,-0.17987797,-0.2658355,-1.1606342
1.1759288,0.49718463,-2.4554024,0.5085141,0.12461156,-1.1219966,-0.74336374,0.7131332,-0.7914133,-2.1851304,-0.7966817,-0.4692851,-0.516536,-1.5497665
1.0609486,0.2916164,-2.1835163,1.0389533,0.24641566,-1.1731699,-0.88152295,0.731528,-0.87056863,-2.0407393,-0.40923515,0.07570055,-0.43196857,-1.205381
1.2952943,0.39765564,-2.2171316,0.6123774,0.58955854,-1.2139964,-1.1297319,0.77867675,-0.866596,-2.1218874,-0.652342,-0.4306635,-0.30869555,-1.3686802
1.503891,0.5554293,-2.2553995,0.69497895,0.08293953,-1.2364526,-0.762694,0.6442443,-0.868494,-2.2030866,-0.33288828,-0.37864992,-0.35594517,-1.7168679
1.2774026,0.8134507,-1.7961378,0.894004,0.021886826,-1.1254609,-0.8455851,0.85607207,-0.7281519,-2.033278,-0.35286438,-0.1474848,-0.24776575,-1.4249147
1.6177219,0.51440686,-2.2551768,0.6972837,0.016329847,-1.1797197,-0.96609205,0.6410693,-1.2896909,-2.0983744,-0.73933774,-0.45408627,-0.16869833,-1.4935414
1.0805867,0.2880241,-2.0445426,0.70593566,0.18566489,-1.3934145,-0.95150495,0.75012964,-0.9768426,-2.0496638,-0.6400119,-0.3463304,-0.34568945,-1.4461763
1.6607138,0.30790824,-2.4262323,0.97517514,-0.1167721,-1.5973966,-0.86821574,0.48972332,-1.0687305,-2.296524,-0.43947205,-0.3161368,-0.27855426,-1.6561279
1.3167557,0.47783732,-2.321819,0.52958035,-0.19384934,-1.0796373,-0.98661345,0.8840156,-0.8347864,-1.8545166,-0.4587741,-0.51040506,-0.33792636,-1.4530106
1.7263852,0.3816315,-2.5580134,0.56579375,-0.025971293,-1.3025875,-0.86359364,1.0070437,-0.7602461,-2.1913543,-0.672796,-0.5993173,-0.35674512,-1.1139357
1.3531663,0.2795864,-1.9088169,0.856649,0.084828705,-1.3083367,-0.86621225,0.5850018,-0.96235245,-2.0857177,-0.80196923,-0.5554208,-0.40710714,-1.70706
1.2062896,0.5570901,-2.247794,0.73568296,0.27303427,-1.186661,-0.8975582,0.86285895,-0.9655426,-2.1091313,-0.7110991,-0.3122411,-0.26576656,-1.4954934
1.2118976,0.53489023,-2.356246,0.15667267,0.19366127,-1.3131337,-0.8478016,0.7744852,-0.6586994,-1.9310225,-0.40359077,-0.52649546,-0.29514262,-1.2960151
1.3434373,0.3869104,-2.254251,0.68440866,0.13334927,-1.251332,-0.7767389,0.6105753,-0.8566035,-2.2058072,-0.8203051,-0.38280877,-0.42346025,-1.2774483
1.3565919,0.52626705,-1.9015932,0.88471353,-0.08179659,-1.710428,-1.0131488,0.33079517,-0.94200927,-1.8494842,-0.21606924,-0.19520329,0.024980307,-1.4549714
1.1368883,0.29473886,-2.1139228,0.6435631,0.062782854,-1.1396565,-0.80793136,0.76642007,-0.77147895,-2.0380816,-0.56286395,-0.4781169,-0.4782303,-1.4734781
1.263376,0.45157215,-2.1174736,0.56939954,0.4005493,-1.0794146,-1.1398932,0.7737739,-0.9481757,-1.9251503,-0.7306258,-0.49824044,-0.34337714,-1.4448215
1.1197432,0.41746962,-2.1228447,0.46783215,0.024224736,-1.313441,-0.71001625,0.8193629,-0.99857587,-1.9382143,-0.7693943,-0.32130566,-0.4790697,-1.5074906
1.2760198,0.56928605,-2.186737,0.5945466,0.113346,-1.2968502,-0.98054415,0.97207546,-0.76426196,-1.981785,-0.63226944,-0.26708916,-0.29095012,-1.2616107
1.0948004,0.46598613,-2.0828028,0.7489713,-0.007193623,-1.2970352,-0.9964409,0.71009773,-1.026184,-2.042274,-0.61811805,-0.37606892,-0.31636456,-1.5184987
1.0837686,0.5436922,-1.9969965,0.74511325,0.26251107,-1.1427183,-0.94641,0.7541576,-0.89241666,-2.0450757,-0.21233653,-0.14101112,-0.079486415,-1.3009989
1.0644957,0.38924742,-1.9026487,0.7416747,0.116670705,-1.4459894,-1.0320104,0.6454346,-0.66741765,-2.1059158,-0.5992449,-0.18772192,-0.5258068,-1.5636839
1.3011421,0.5294129,-2.1449683,0.80218613,0.33805072,-1.2774489,-1.1683522,0.70850146,-0.5381259,-2.0158632,-0.7285475,-0.37423998,-0.009781793,-1.4941822
1.1890309,0.2987352,-2.0859199,1.0384998,-0.0953448,-1.5035834,-0.73608047,0.6499566,-0.83043617,-1.9662406,-0.25866717,-0.44680193,-0.29355264,-1.2915303
1.4347677,0.35608318,-2.083794,0.6070891,0.20572771,-1.3513596,-0.7965115,0.82355267,-0.75073504,-2.2743099,-0.9038747,-0.47442675,-0.58109325,-1.2993367
1.3388157,0.2938814,-2.5551128,0.7791089,0.10709967,-1.2769573,-0.8699055,0.82677627,-0.6368524,-2.024238,-0.64363825,-0.49997234,-0.18338355,-1.3593291
1.4637157,0.34378892,-2.0754018,0.6994636,-0.05167216,-1.4665439,-0.95843226,0.78357095,-1.0966276,-2.0045643,-0.6112339,-0.18425708,-0.39309558,-1.4248935
1.3251407,0.7227719,-2.2456033,0.49767447,0.1503019,-1.3692775,-0.83740544,0.9732924,-1.1119748,-2.2357082,-0.6416522,-0.4358417,-0.33811736,-1.4339728
1.1836511,0.4516665,-2.146427,0.7741725,0.11706359,-1.3317332,-0.883063,0.76157075,-1.0507816,-2.1747003,-0.59100395,-0.32197177,-0.37310964,-1.4075924
1.3176883,0.47215515,-2.0505166,0.9877973,0.03395511,-1.5829425,-0.80002743,0.5934998,-1.0540663,-2.1801207,-0.57994413,-0.4038305,-0.39183757,-1.3294197
1.0799673,0.6361638,-2.2646785,0.70929956,0.1668181,-1.0516074,-1.1313881,0.6212049,-0.7086072,-2.1801243,-0.29810223,-0.40228233,-0.6227944,-1.646409
1.3492583,0.539243,-2.346061,0.9042911,0.20690161,-1.6528401,-0.97885036,0.65984535,-1.0161769,-2.2617662,-0.7224448,-0.33165246,-0.52657664,-1.7435449
1.2265798,0.49143857,-2.239197,1.0281863,0.09418793,-1.4083664,-0.9192869,0.53766084,-0.8460561,-2.28336,-0.79971844,-0.39174083,-0.43853605,-1.6147342
0.9576917,0.33780092,-1.9628574,0.7410239,0.16042018,-1.3664086,-1.0250275,0.98236454,-1.0232662,-2.1978595,-0.9328663,-0.22033866,-0.17299785,-1.0939434
1.296989,0.21330196,-2.1206434,0.5022486,0.27125227,-1.4156129,-0.85131246,1.0679065,-0.7754649,-1.9065642,-0.6111112,-0.27859068,-0.55340904,-1.2984707
1.4171499,0.4588108,-2.247812,0.6911874,0.28489202,-1.2689316,-0.99164575,1.014532,-0.6665517,-2.2006814,-0.8936204,-0.46101043,-0.44860804,-1.3929706
1.1938556,0.48813403,-2.3265102,0.61300343,0.08174347,-1.1128559,-1.0478789,1.034583,-0.697878,-2.2036114,-0.61255467,-0.35902542,-0.09904447,-1.4240655
1.1946126,0.29638803,-2.243108,0.53444886,0.29411036,-1.2448876,-0.97819746,0.7961766,-0.74254334,-1.9922539,-0.58970034,-0.4240677,-0.30223203,-1.2872418
1.5278081,0.23568228,-2.191844,0.8614436,0.32086825,-1.2287202,-1.1588837,0.38944125,-1.2889903,-2.258674,-0.5867028,-0.35894844,-0.044157565,-1.5665271
1.5250974,0.36994824,-2.5684044,0.6254547,0.0837887,-1.281744,-0.77695984,1.004341,-0.9293794,-2.1541953,-0.6792597,-0.4295843,-0.1973463,-1.4227369
1.6028495,0.6228239,-2.1627524,0.5529807,0.119376265,-1.4352126,-0.8673691,0.7719863,-0.8708756,-2.247045,-0.9724426,-0.5195629,-0.278277,-1.3770453
1.2402009,0.44667572,-2.2028842,0.8983709,0.1507812,-1.2754316,-1.2140145,0.78020513,-0.8827254,-2.0545452,-0.4332227,-0.27070013,-0.3562438,-1.3473713
1.3559406,0.522027,-2.5291007,0.92093486,0.32775187,-1.368051,-1.1006444,0.65863514,-1.0917687,-2.1278882,-0.71805406,-0.5011299,-0.4128555,-1.3160459
1.2611771,0.49163377,-2.2129173,0.6312131,0.1691497,-1.0698524,-0.773782,0.83518416,-0.96782917,-2.026959,-0.81694067,-0.34239057,-0.2688079,-1.5055436
1.409466,0.34107596,-2.047484,0.89523154,-0.105347425,-1.2715795,-1.0120909,0.7512276,-0.8950733,-2.0496418,-0.48192224,-0.20893943,-0.28009582,-1.5669178
1.3840376,0.34397033,-2.5549185,0.5087522,0.38658834,-1.2924862,-0.9251246,0.8302558,-0.97301656,-2.233415,-0.82788926,-0.5631944,-0.33474237,-1.4422767
1.2542748,0.41507754,-2.3678956,0.7214941,-0.089874886,-1.1772912,-0.62585163,0.88919777,-0.8419443,-2.1798866,-0.53932077,-0.37712845,-0.5593644,-1.3762791
